country,region,default_route_type,distance_km_from_turkey,logistics_regulation,customs_process,delivery_advice,source_note
Güney Kore,Asya,Deniz + Hava,8200,"Türkiye'den Güney Kore ülkesine varsayılan rota Deniz + Hava, yaklaşık mesafe 8200 km'dir.","Güney Kore gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Singapur,Asya,Deniz + Hava,8500,"Türkiye'den Singapur ülkesine varsayılan rota Deniz + Hava, yaklaşık mesafe 8500 km'dir.","Singapur gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Avustralya,Okyanusya,Deniz + Hava,14500,"Türkiye'den Avustralya ülkesine varsayılan rota Deniz + Hava, yaklaşık mesafe 14500 km'dir.","Avustralya gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Belçika,Avrupa,Kara + Deniz,2500,"Türkiye'den Belçika ülkesine varsayılan rota Kara + Deniz, yaklaşık mesafe 2500 km'dir.","Belçika gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Avusturya,Avrupa,Kara,1600,"Türkiye'den Avusturya ülkesine varsayılan rota Kara, yaklaşık mesafe 1600 km'dir.","Avusturya gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Çekya,Avrupa,Kara,1800,"Türkiye'den Çekya ülkesine varsayılan rota Kara, yaklaşık mesafe 1800 km'dir.","Çekya gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Romanya,Avrupa,Kara + Deniz,650,"Türkiye'den Romanya ülkesine varsayılan rota Kara + Deniz, yaklaşık mesafe 650 km'dir.","Romanya gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Bulgaristan,Avrupa,Kara,550,"Türkiye'den Bulgaristan ülkesine varsayılan rota Kara, yaklaşık mesafe 550 km'dir.","Bulgaristan gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Yunanistan,Avrupa,Kara + Deniz,800,"Türkiye'den Yunanistan ülkesine varsayılan rota Kara + Deniz, yaklaşık mesafe 800 km'dir.","Yunanistan gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Macaristan,Avrupa,Kara,1500,"Türkiye'den Macaristan ülkesine varsayılan rota Kara, yaklaşık mesafe 1500 km'dir.","Macaristan gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Portekiz,Avrupa,Deniz + Kara,3400,"Türkiye'den Portekiz ülkesine varsayılan rota Deniz + Kara, yaklaşık mesafe 3400 km'dir.","Portekiz gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
İsveç,Avrupa,Kara + Deniz,3000,"Türkiye'den İsveç ülkesine varsayılan rota Kara + Deniz, yaklaşık mesafe 3000 km'dir.","İsveç gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Norveç,Avrupa,Deniz + Kara,3400,"Türkiye'den Norveç ülkesine varsayılan rota Deniz + Kara, yaklaşık mesafe 3400 km'dir.","Norveç gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Danimarka,Avrupa,Kara + Deniz,2700,"Türkiye'den Danimarka ülkesine varsayılan rota Kara + Deniz, yaklaşık mesafe 2700 km'dir.","Danimarka gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Finlandiya,Avrupa,Kara + Deniz,3000,"Türkiye'den Finlandiya ülkesine varsayılan rota Kara + Deniz, yaklaşık mesafe 3000 km'dir.","Finlandiya gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
İrlanda,Avrupa,Deniz + Kara,3500,"Türkiye'den İrlanda ülkesine varsayılan rota Deniz + Kara, yaklaşık mesafe 3500 km'dir.","İrlanda gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Meksika,Kuzey Amerika,Deniz + Hava,11500,"Türkiye'den Meksika ülkesine varsayılan rota Deniz + Hava, yaklaşık mesafe 11500 km'dir.","Meksika gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Brezilya,Güney Amerika,Deniz + Hava,10500,"Türkiye'den Brezilya ülkesine varsayılan rota Deniz + Hava, yaklaşık mesafe 10500 km'dir.","Brezilya gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Şili,Güney Amerika,Deniz + Hava,13000,"Türkiye'den Şili ülkesine varsayılan rota Deniz + Hava, yaklaşık mesafe 13000 km'dir.","Şili gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Arjantin,Güney Amerika,Deniz + Hava,12200,"Türkiye'den Arjantin ülkesine varsayılan rota Deniz + Hava, yaklaşık mesafe 12200 km'dir.","Arjantin gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Güney Afrika,Afrika,Deniz + Hava,7800,"Türkiye'den Güney Afrika ülkesine varsayılan rota Deniz + Hava, yaklaşık mesafe 7800 km'dir.","Güney Afrika gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Mısır,Afrika,Deniz + Kara,1300,"Türkiye'den Mısır ülkesine varsayılan rota Deniz + Kara, yaklaşık mesafe 1300 km'dir.","Mısır gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Fas,Afrika,Deniz + Kara,3500,"Türkiye'den Fas ülkesine varsayılan rota Deniz + Kara, yaklaşık mesafe 3500 km'dir.","Fas gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Cezayir,Afrika,Deniz,3000,"Türkiye'den Cezayir ülkesine varsayılan rota Deniz, yaklaşık mesafe 3000 km'dir.","Cezayir gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Tunus,Afrika,Deniz,2200,"Türkiye'den Tunus ülkesine varsayılan rota Deniz, yaklaşık mesafe 2200 km'dir.","Tunus gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Nijerya,Afrika,Deniz + Hava,5200,"Türkiye'den Nijerya ülkesine varsayılan rota Deniz + Hava, yaklaşık mesafe 5200 km'dir.","Nijerya gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Katar,Orta Doğu,Deniz + Hava,2700,"Türkiye'den Katar ülkesine varsayılan rota Deniz + Hava, yaklaşık mesafe 2700 km'dir.","Katar gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Kuveyt,Orta Doğu,Deniz + Kara,2200,"Türkiye'den Kuveyt ülkesine varsayılan rota Deniz + Kara, yaklaşık mesafe 2200 km'dir.","Kuveyt gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Bahreyn,Orta Doğu,Deniz + Hava,2500,"Türkiye'den Bahreyn ülkesine varsayılan rota Deniz + Hava, yaklaşık mesafe 2500 km'dir.","Bahreyn gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Umman,Orta Doğu,Deniz,3200,"Türkiye'den Umman ülkesine varsayılan rota Deniz, yaklaşık mesafe 3200 km'dir.","Umman gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Hindistan,Asya,Deniz + Hava,5200,"Türkiye'den Hindistan ülkesine varsayılan rota Deniz + Hava, yaklaşık mesafe 5200 km'dir.","Hindistan gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Endonezya,Asya,Deniz + Hava,9000,"Türkiye'den Endonezya ülkesine varsayılan rota Deniz + Hava, yaklaşık mesafe 9000 km'dir.","Endonezya gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Malezya,Asya,Deniz + Hava,8300,"Türkiye'den Malezya ülkesine varsayılan rota Deniz + Hava, yaklaşık mesafe 8300 km'dir.","Malezya gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Tayland,Asya,Deniz + Hava,7400,"Türkiye'den Tayland ülkesine varsayılan rota Deniz + Hava, yaklaşık mesafe 7400 km'dir.","Tayland gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Vietnam,Asya,Deniz + Hava,8200,"Türkiye'den Vietnam ülkesine varsayılan rota Deniz + Hava, yaklaşık mesafe 8200 km'dir.","Vietnam gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Rusya,Avrasya,Kara + Deniz,1800,"Türkiye'den Rusya ülkesine varsayılan rota Kara + Deniz, yaklaşık mesafe 1800 km'dir.","Rusya gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
